Image Name,Width,Height,Mean Intensity,Standard Deviation,Minimum Pixel,Maximum Pixel
126.png,900,900,135.01,92.65,33,255
127.png,900,900,137.5,92.43,32,255
128.png,900,900,136.69,91.63,34,255
129.png,900,900,135.15,92.46,32,255
130.png,900,900,137.58,92.39,32,255
131.png,900,900,134.64,93.28,32,255
132.png,900,900,136.43,92.33,33,255
133.png,900,900,136.48,92.0,32,255
134.png,900,900,133.86,93.44,32,255
135.png,900,900,134.58,93.29,31,255
136.png,900,900,135.52,92.82,32,255
137.png,900,900,135.73,92.29,32,255
138.png,900,900,134.87,92.56,32,255
139.png,900,900,134.9,92.77,32,255
140.png,900,900,136.77,92.48,33,255
141.png,900,900,136.38,91.82,33,255
142.png,900,900,135.87,91.9,34,255
143.png,900,900,137.55,92.73,32,255
144.png,900,900,138.16,90.49,34,255
145.png,900,900,137.83,91.44,34,255
146.png,900,900,138.01,92.18,33,255
147.png,900,900,139.01,91.85,33,255
148.png,900,900,134.8,93.29,32,255
149.png,900,900,136.62,92.11,33,255
150.png,900,900,135.69,92.95,32,255
151.png,900,900,135.72,92.05,32,255
152.png,900,900,135.61,92.15,33,255
153.png,900,900,137.08,90.88,33,255
154.png,900,900,135.4,92.36,32,255
155.png,900,900,137.16,91.54,31,255
156.png,900,900,135.26,93.12,31,255
157.png,900,900,138.57,92.04,33,255
158.png,900,900,135.45,92.96,32,255
159.png,900,900,138.5,92.2,32,255
160.png,900,900,139.48,91.75,33,255
161.png,900,900,136.75,92.18,31,255
162.png,900,900,139.35,92.1,32,255
163.png,900,900,139.13,91.31,32,255
164.png,900,900,135.97,92.68,32,255
165.png,900,900,136.31,92.42,32,255
166.png,900,900,136.4,91.61,33,255
167.png,900,900,136.26,92.14,33,255
168.png,900,900,136.12,92.49,32,255
169.png,900,900,136.15,91.95,32,255
170.png,900,900,136.32,91.85,33,255
171.png,900,900,135.85,92.59,33,255
172.png,900,900,137.88,92.13,33,255
173.png,900,900,137.24,91.91,31,255
174.png,900,900,137.2,91.99,33,255
175.png,900,900,137.52,91.58,34,255
176.png,900,900,136.89,91.79,32,255
177.png,900,900,135.53,92.45,32,255
178.png,900,900,138.75,92.08,33,255
179.png,900,900,136.96,92.12,32,255
180.png,900,900,136.29,92.5,32,255
181.png,900,900,137.62,91.14,32,255
182.png,900,900,136.8,91.79,33,255
183.png,900,900,136.96,91.8,32,255
184.png,900,900,138.37,91.38,34,255
185.png,900,900,137.71,91.74,32,255
186.png,900,900,138.86,91.42,32,255
187.png,900,900,137.06,91.77,33,255
188.png,900,900,136.86,91.98,32,255
189.png,900,900,137.8,91.55,33,255
190.png,900,900,136.59,92.43,33,255
191.png,900,900,139.41,91.66,34,255
192.png,900,900,137.39,92.33,33,255
193.png,900,900,137.4,91.83,33,255
194.png,900,900,139.14,91.74,33,255
195.png,900,900,139.43,90.75,34,255
196.png,900,900,136.57,91.95,32,255
197.png,900,900,136.35,92.76,32,255
198.png,900,900,137.65,92.18,32,255
199.png,900,900,136.6,92.02,32,255
200.png,900,900,138.15,91.26,34,255
201.png,900,900,134.14,93.27,33,255
202.png,900,900,136.45,92.77,32,255
203.png,900,900,137.85,92.39,31,255
204.png,900,900,138.41,92.26,32,255
205.png,900,900,137.74,91.64,33,255
206.png,900,900,136.33,92.41,32,255
207.png,900,900,138.83,91.32,32,255
208.png,900,900,136.6,92.01,32,255
